"Fecha","Indicador","Territorio",Valor
"2020-04-14","Fallecidos","Río Negro",0
"2020-04-14","Fallecidos","Rivera",0
"2020-04-14","Fallecidos","Rocha",0
"2020-04-14","Fallecidos","Salto",0
"2020-04-14","Fallecidos","San José",0
"2020-04-14","Fallecidos","Soriano",0
"2020-04-14","Fallecidos","Tacuarembó",0
"2020-04-14","Fallecidos","Treinta y Tres",0
"2020-04-14","Personal de la salud  Confirmados ","Todo el país",80
"2020-04-14","Personal de la salud  Recuperados ","Todo el país",0
"2020-04-14","Personal de la salud  Activos ","Todo el país",0
"2020-04-14","Personal de la salud  Fallecidos ","Todo el país",0
"2020-04-14","Cantidad de Tests  Positivos ","Todo el país",12
"2020-04-14","Cantidad de Tests  Negativos ","Todo el país",681
"2020-04-14","Personas en CTI","Todo el país",14
"2020-04-14","Personas en CI","Todo el país",0
"2020-04-14","Fallecidos ","Todo el país",8
"2020-04-14","Casos nuevos ","Todo el país",0
"2020-04-15","Casos activos","Artigas",0
"2020-04-15","Casos activos","Canelones",27
"2020-04-15","Casos activos","Cerro Largo",0
"2020-04-15","Casos activos","Colonia",5
"2020-04-15","Casos activos","Durazno",0
"2020-04-15","Casos activos","Flores",0
"2020-04-15","Casos activos","Florida",0
"2020-04-15","Casos activos","Lavalleja",4
"2020-04-15","Casos activos","Maldonado",11
"2020-04-15","Casos activos","Montevideo",148
"2020-04-15","Casos activos","Paysandú",1
"2020-04-15","Casos activos","Río Negro",8
"2020-04-15","Casos activos","Rivera",0
"2020-04-15","Casos activos","Rocha",0
"2020-04-15","Casos activos","Salto",7
"2020-04-15","Casos activos","San José",2
"2020-04-15","Casos activos","Soriano",0
"2020-04-15","Casos activos","Tacuarembó",0
"2020-04-15","Casos activos","Treinta y Tres",0
"2020-04-15","Casos recuperados","Artigas",0
"2020-04-15","Casos recuperados","Canelones",49
"2020-04-15","Casos recuperados","Cerro Largo",0
"2020-04-15","Casos recuperados","Colonia",3
"2020-04-15","Casos recuperados","Durazno",0
"2020-04-15","Casos recuperados","Flores",1
"2020-04-15","Casos recuperados","Florida",0
"2020-04-15","Casos recuperados","Lavalleja",0
"2020-04-15","Casos recuperados","Maldonado",7
"2020-04-15","Casos recuperados","Montevideo",205
"2020-04-15","Casos recuperados","Paysandú",0
"2020-04-15","Casos recuperados","Río Negro",0
"2020-04-15","Casos recuperados","Rivera",0
"2020-04-15","Casos recuperados","Rocha",1
"2020-04-15","Casos recuperados","Salto",5
"2020-04-15","Casos recuperados","San José",0
"2020-04-15","Casos recuperados","Soriano",1
"2020-04-15","Casos recuperados","Tacuarembó",0
"2020-04-15","Casos recuperados","Treinta y Tres",0
"2020-04-15","Fallecidos","Artigas",0
"2020-04-15","Fallecidos","Canelones",2
"2020-04-15","Fallecidos","Cerro Largo",0
"2020-04-15","Fallecidos","Colonia",0
"2020-04-15","Fallecidos","Durazno",0
"2020-04-15","Fallecidos","Flores",0
"2020-04-15","Fallecidos","Florida",0
"2020-04-15","Fallecidos","Lavalleja",0
"2020-04-15","Fallecidos","Maldonado",1
"2020-04-15","Fallecidos","Montevideo",5
"2020-04-15","Fallecidos","Paysandú",0
"2020-04-15","Fallecidos","Río Negro",0
"2020-04-15","Fallecidos","Rivera",0
"2020-04-15","Fallecidos","Rocha",0
"2020-04-15","Fallecidos","Salto",0
"2020-04-15","Fallecidos","San José",0
"2020-04-15","Fallecidos","Soriano",0
"2020-04-15","Fallecidos","Tacuarembó",0
"2020-04-15","Fallecidos","Treinta y Tres",0
"2020-04-15","Personal de la salud  Confirmados ","Todo el país",82
"2020-04-15","Personal de la salud  Recuperados ","Todo el país",0
"2020-04-15","Personal de la salud  Activos ","Todo el país",0
"2020-04-15","Personal de la salud  Fallecidos ","Todo el país",0
"2020-04-15","Cantidad de Tests  Positivos ","Todo el país",6
"2020-04-15","Cantidad de Tests  Negativos ","Todo el país",513
"2020-04-15","Personas en CTI","Todo el país",13
"2020-04-15","Personas en CI","Todo el país",0
"2020-04-15","Fallecidos ","Todo el país",8
"2020-04-15","Casos nuevos ","Todo el país",0
"2020-04-16","Casos activos","Artigas",0
"2020-04-16","Casos activos","Canelones",27
"2020-04-16","Casos activos","Cerro Largo",0
"2020-04-16","Casos activos","Colonia",5
"2020-04-16","Casos activos","Durazno",1
"2020-04-16","Casos activos","Flores",0
"2020-04-16","Casos activos","Florida",0
"2020-04-16","Casos activos","Lavalleja",4
"2020-04-16","Casos activos","Maldonado",11
"2020-04-16","Casos activos","Montevideo",140
"2020-04-16","Casos activos","Paysandú",1
"2020-04-16","Casos activos","Río Negro",9
"2020-04-16","Casos activos","Rivera",0
"2020-04-16","Casos activos","Rocha",0
"2020-04-16","Casos activos","Salto",7
"2020-04-16","Casos activos","San José",2
"2020-04-16","Casos activos","Soriano",0
"2020-04-16","Casos activos","Tacuarembó",0
"2020-04-16","Casos activos","Treinta y Tres",0
"2020-04-16","Casos recuperados","Artigas",0
"2020-04-16","Casos recuperados","Canelones",50
"2020-04-16","Casos recuperados","Cerro Largo",0
"2020-04-16","Casos recuperados","Colonia",3
"2020-04-16","Casos recuperados","Durazno",0
"2020-04-16","Casos recuperados","Flores",1
"2020-04-16","Casos recuperados","Florida",0
"2020-04-16","Casos recuperados","Lavalleja",0
"2020-04-16","Casos recuperados","Maldonado",9
"2020-04-16","Casos recuperados","Montevideo",216
"2020-04-16","Casos recuperados","Paysandú",0
"2020-04-16","Casos recuperados","Río Negro",0
"2020-04-16","Casos recuperados","Rivera",0
"2020-04-16","Casos recuperados","Rocha",1
"2020-04-16","Casos recuperados","Salto",5
"2020-04-16","Casos recuperados","San José",0
"2020-04-16","Casos recuperados","Soriano",1
"2020-04-16","Casos recuperados","Tacuarembó",0
"2020-04-16","Casos recuperados","Treinta y Tres",0
"2020-04-16","Fallecidos","Artigas",0
"2020-04-16","Fallecidos","Canelones",2
"2020-04-16","Fallecidos","Cerro Largo",0
"2020-04-16","Fallecidos","Colonia",0
"2020-04-16","Fallecidos","Durazno",0
"2020-04-16","Fallecidos","Flores",0
"2020-04-16","Fallecidos","Florida",0
"2020-04-16","Fallecidos","Lavalleja",0
"2020-04-16","Fallecidos","Maldonado",1
"2020-04-16","Fallecidos","Montevideo",6
"2020-04-16","Fallecidos","Paysandú",0
"2020-04-16","Fallecidos","Río Negro",0
"2020-04-16","Fallecidos","Rivera",0
"2020-04-16","Fallecidos","Rocha",0
"2020-04-16","Fallecidos","Salto",0
"2020-04-16","Fallecidos","San José",0
"2020-04-16","Fallecidos","Soriano",0
"2020-04-16","Fallecidos","Tacuarembó",0
"2020-04-16","Fallecidos","Treinta y Tres",0
"2020-04-16","Personal de la salud  Confirmados ","Todo el país",82
"2020-04-16","Personal de la salud  Recuperados ","Todo el país",39
"2020-04-16","Personal de la salud  Activos ","Todo el país",43
"2020-04-16","Personal de la salud  Fallecidos ","Todo el país",0
"2020-04-16","Cantidad de Tests  Positivos ","Todo el país",6
"2020-04-16","Cantidad de Tests  Negativos ","Todo el país",513
"2020-04-16","Personas en CTI","Todo el país",13
"2020-04-16","Personas en CI","Todo el país",0
"2020-04-16","Fallecidos ","Todo el país",9
"2020-04-16","Casos nuevos ","Todo el país",0
"2020-04-17","Casos activos","Artigas",0
"2020-04-17","Casos activos","Canelones",25
"2020-04-17","Casos activos","Cerro Largo",0
"2020-04-17","Casos activos","Colonia",5
"2020-04-17","Casos activos","Durazno",1
"2020-04-17","Casos activos","Flores",0
"2020-04-17","Casos activos","Florida",0
"2020-04-17","Casos activos","Lavalleja",4
"2020-04-17","Casos activos","Maldonado",13
"2020-04-17","Casos activos","Montevideo",139
"2020-04-17","Casos activos","Paysandú",0
"2020-04-17","Casos activos","Río Negro",9
"2020-04-17","Casos activos","Rivera",0
"2020-04-17","Casos activos","Rocha",0
"2020-04-17","Casos activos","Salto",7
"2020-04-17","Casos activos","San José",2
"2020-04-17","Casos activos","Soriano",0
"2020-04-17","Casos activos","Tacuarembó",0
"2020-04-17","Casos activos","Treinta y Tres",0
"2020-04-17","Casos recuperados","Artigas",0
"2020-04-17","Casos recuperados","Canelones",50
"2020-04-17","Casos recuperados","Cerro Largo",0
"2020-04-17","Casos recuperados","Colonia",3
"2020-04-17","Casos recuperados","Durazno",0
"2020-04-17","Casos recuperados","Flores",1
"2020-04-17","Casos recuperados","Florida",0
"2020-04-17","Casos recuperados","Lavalleja",0
"2020-04-17","Casos recuperados","Maldonado",8
"2020-04-17","Casos recuperados","Montevideo",224
"2020-04-17","Casos recuperados","Paysandú",1
"2020-04-17","Casos recuperados","Río Negro",0
"2020-04-17","Casos recuperados","Rivera",0
"2020-04-17","Casos recuperados","Rocha",1
"2020-04-17","Casos recuperados","Salto",5
"2020-04-17","Casos recuperados","San José",0
"2020-04-17","Casos recuperados","Soriano",1
"2020-04-17","Casos recuperados","Tacuarembó",0
"2020-04-17","Casos recuperados","Treinta y Tres",0
"2020-04-17","Fallecidos","Artigas",0
"2020-04-17","Fallecidos","Canelones",2
"2020-04-17","Fallecidos","Cerro Largo",0
"2020-04-17","Fallecidos","Colonia",0
"2020-04-17","Fallecidos","Durazno",0
"2020-04-17","Fallecidos","Flores",0
"2020-04-17","Fallecidos","Florida",0
"2020-04-17","Fallecidos","Lavalleja",0
"2020-04-17","Fallecidos","Maldonado",1
"2020-04-17","Fallecidos","Montevideo",6
"2020-04-17","Fallecidos","Paysandú",0
"2020-04-17","Fallecidos","Río Negro",0
"2020-04-17","Fallecidos","Rivera",0
"2020-04-17","Fallecidos","Rocha",0
"2020-04-17","Fallecidos","Salto",0
"2020-04-17","Fallecidos","San José",0
"2020-04-17","Fallecidos","Soriano",0
"2020-04-17","Fallecidos","Tacuarembó",0
"2020-04-17","Fallecidos","Treinta y Tres",0
"2020-04-17","Personal de la salud  Confirmados ","Todo el país",82
"2020-04-17","Personal de la salud  Recuperados ","Todo el país",41
